"Grantor","Grantee","Zip Code","Fiscal Year","Amount","Description","Category","Fiscal Period","Date"
"Department of Business and Economic Development/MD Small Business Development Financing Authority","CONSOLIDATED SERVICES INC","21009","2011","300,000","MSBDFA Contract Finance Line of Credit of $300,000 max","Loan","1","2011 Jun 30 12:00:00 AM"
"Military Department/Maryland Emergency Management Agency","MARYLAND STATE FIREMEN'S ASSOCIATION","21401","2014","475,000","MSFA WIDOWS & ORPHANS GRANT","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Agriculture/COVER CROP","JEFF HARRISON","21797","2014","151,083.5","Cover Crop Program Grant","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland State Department of Education - Local Management Boards","Caroline Human Services Council Inc","21629","2015","510,525","LMB ADMINISTRATION","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","SPRY BROTHERS, INC.","21921","2010","55,205","COVER CROP, CONSERVATION RESERVE,","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Transportation/State System Construction and Equipment","AASHTO","20001","2013","164,076","AASHTO SPONSORS JOINT SOFTWARE DEVELOPMENT PROJECTS","Grant","1","2013 Jun 30 12:00:00 AM"
"Boards and Commissions - Governor's Office of Crime Control and Prevention","Heartly House, Inc.","21705","2015","205,249.49","VOCA Victim Assistance Formula Grant Program","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Weatherization - Regional Greenhouse Gases Initiative","Shore Up Inc","21804","2011","74,981","weatherization activities/products","Grant","1","2011 Jun 30 12:00:00 AM"
"Child Welfare Services","WAY STATION INC","21705","2018","457,672.54","Provides behavioral health care, housing and employment services to adults (including veterans), children and adolescents.","Grant","1","2018 Jun 30 12:00:00 AM"
"Freedom Fleet Voucher Program","Transteck Inc. DBA Barr Freightliner","21817","2018","57,852","Financial assistance for the purchase of new and converted alternative fueled vehicles registered in the state of Maryland","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission/Aid to Non Public Institutions","College of Notre Dame of Maryland","21210","2012","1,314,579","Sellinger Formula Aid","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Prevention and Disease Control","Calvert Memorial Hospital","20678","2012","84,845","Dental Services","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Housing and Community Development - Foreclosure Mediation","Diversified Housing Development Inc","21244","2015","25,000","Foreclosure Mediation","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland State Department of Education/FOOD SERVICES PROGRAM","MARYLAND SCHOOL FOR THE BLIND","21236-4499","2011","1,260.39","FOOD SERVICE PROGRAMS","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland Energy Administration/Clean Cities/Hybrid Truck","Sysco","77077-2025","2013","965,934","Hybrid Trucks","Grant","1","2013 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","YWCA of Annapolis and Anne Arundel County","21012","2016","185,315.14","Domestic Violence Protection Program","Grant","1","2016 Jun 30 12:00:00 AM"
"Offshore Wind Business Development","Arcon Welding Fabrications, LLC","21801","2018","100,000","Financial assistance, business development assistance and employee training program for the benefit of businesses in the emerging MD offshore wind industry","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Agriculture/Cover crop","GOLDSBOROUGH J STAFFORD III","21632","2013","69,580.5","Cover Crop Grant","Grant","1","2013 Jun 30 12:00:00 AM"
"Facilities and Capital Equipment","BALTIMORE METROPOLITAN COUNCIL","21230-4767","2018","159,794.38","RIDESHARING","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","CHARLES COUNTY ARTS ALLIANCE","20695","2011","85,516","Community Arts Development Grant","Grant","1","2011 Jun 30 12:00:00 AM"
"MARYLAND TOURISM BOARD","CVB of Montgomery MD Inc.","20850","2018","135,341","Maryland Tourism Board Grant","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Human Resources/Family Investment Administration","Job Opportunities Task Force","21202","2011","67,761","Funds are used to  provide sector-specific skills training in targeted industries for customers of the Department of Human Resources over a two year period","Grant","1","2011 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Walden Sierra, Inc.","20622","2011","43,157.69","Enhancing Victims' Experiences in Recovery","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Transportation/Operating Grants In-Aid","Metro Washington Council of Governments","20002-4290","2009","1,675,845.5","match for federal appropriation for Metropolitan Planning Organization (MPO) requirement","Grant","1","2009 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Walden Sierra, Inc.","20622","2016","26,430","Domestic Violence Protection Program","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Maryland Affordable Housing Trust","National Capital B'Nai B'rith Assisted Housing","20906","2012","100,410","affordable Housing","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Transportation/Facilities and Capital Equip.","BWI BUSINESS PARTNERSHIP INC Total","21090","2011","100,339.65","BWI MOU","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland Department of Education/DIV OF REHABILITATION SERVICES-HQ","INDEPENDENCE NOW INC","20904","2013","178,856","COMPREHENSIVE SERV-INDEPENDENT LIVING","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Agriculture/Cover crop","HALE FARMS INC","21802","2013","93,789","Cover Crop Grant-Commodity","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Project C.O.R.E.","Central Baltimore Partner","21218","2017","745,000","Core Strategic Demolition Baltimore City","Grant","1","2017 Jun 30 12:00:00 AM"
"State Department of Education/DIVISION OF EARLY CHILDHOOD DEVELOPMENT","MD COMMITTEE FOR CHILDREN INC","21202","2010","150,000","MD Child Care Resource and Referral","Grant","1","2010 Jun 30 12:00:00 AM"
"Judiciary/Mediation and Conflict Resolution Office","Center for Conflict Resolution at Salisbury University","21801","2014","72,000","Community mediation performance-based funding at level 4.","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Energy Administration/LMI Community Grants","SHORE UP! FY17","218046031","2017","165,000","Energy efficiency measures for the low and moderate income sector","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture/Resource Conservation Capital Grants","MICHAEL R ALBAUGH","21757","2017","60,126.2","Other Grants, Subs & Contribution","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture - Conservation Grants","Windridge Farm LLC","21710","2015","67,007","COVER CROP","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland Energy Administration/C&I Deep Energy Retrofit Program","Rocky Gap Casino Resort","21530-1059","2014","400,000","Energy efficiency grants for audits/upgrades in the commercial and industrial sector","Grant","1","2014 Jun 30 12:00:00 AM"
"Judiciary - Mediation and Conflict Resolution Office","Center for Conflict Resolution at Salisbury University","21801","2015","72,000","Performance-based community mediation funding, Level 4","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland Department of Education/Children at Risk","SHEPPARD PRATT HEALTH SYSTEMS","21285-6815","2012","2,271,437","SAFE AND SUPPORTIVE SCHOOLS","Grant","1","2012 Jun 30 12:00:00 AM"
"Marketing Spay and Neuter Program","FREDERICK COUNTY MARYLAND","21701","2018","132,580.55","GRANTS TO NON-GOV ENTITIES","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Health & Mental Hygiene/MD Community Health Resources Commission","Upper Chesapeake HealthLink Primary Care Clinic","21263","2010","100,000","Improve access to care for low income residents","Grant","1","2010 Jun 30 12:00:00 AM"
"Military Department/MSFA WIDOWS AND ORPHANS GRANT","MARYLAND STATE FIREMEN'S ASSOCIATION","21094","2009","200,000","State Aid to NGO's","Grant","1","2009 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","Anne Arundel County CASA","21401","2009","102,330","Advocacy for children in foster care","Grant","1","2009 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/AmeriCorps Formula","Maryland College Institute of Art - Community Art Corps","21217","2016","117,130.19","AmeriCorps State Service funding","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland State Department of Education/HEAD START","CENTRONIA","20912","2011","13,144","HEAD START","Grant","1","2011 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Baltimore Child Abuse Center, Inc..","21218","2018","33,579.07","Internet Crimes Against Children","Grant","1","2018 Jun 30 12:00:00 AM"
"Commerce/MD State Arts Council","ST MARY'S COUNTY ARTS COUNCIL","20650","2017","90,827","MD State Arts Council Community Arts Development Grant","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Department of Education/EARLY CHILDHOOD EDUCATION","CHILD TRENDS INC","20814","2014","71,965","CHILDCARE DEVELOPMENT-MANDATORY AND MATCH","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Department of Health/Prevention and Health Promotion Administration","Medstar Health","21205","2017","1,212,000","Colorectal Cancer Edu/Outreach/Screening Srvs.","Grant","1","2017 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Family Crisis Center, Inc. of Prince George's County","20722","2017","291,859","VOCA Victim Assistance Formula Grant Program","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Business & Economic Development/Maryland State Arts Council","Dorchester Arts Center, Inc.","21613","2010","96,394","Grant funding for Community Arts Development, ARRA Grant","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Aging - State Nutrition","Garrett County Area Agency on Aging","21550","2015","60,325","Meals for Seniors","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland Energy Administration/Low-to-Moderate Income (LMI) Community Grants","Task 2.05.2016 FY16 EmPOWER Low-Moderate-Income (LMI) Grant Support from State Retirement Agency (SRA)","20852","2016","199,669","Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Planning/Historic Preservation Grant Program","Druid Heights Community Development Corporation","21217","2016","60,568","FY 2012 African American Heritage Preservation Program - Project work includes the restoration of the Sphinx Club property located at 2101-2111 Pennsylvania Avenue, Baltimore, MD to include site work, structural elements, exterior rehabilitation, and restoration of the storefront.","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","FRIENDS & FAMILY ADULT DAY SERVICES INC","21244","2013","2,563","CASH FOR COMMOD - CHILD CARE","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Agriculture - Conservation Grants","Sylvester Farms Inc","21657","2015","51,275.5","COVER CROP, CONSERVATION RESERVE","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/OAG Counseling","Centro De Apoyo Familiar","20737","2014","115,800","Operating Assistance Grants (OAG) Counseling","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Business and Economic Development - Maryland Tourism Board","Friendsof the Maryland State Archives","21403","2015","56,250","Maryland Tourism Board-General Grant","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland State Department of Education/CHILDREN'S CABINET INTERAGENCY FUND","MONTGOMERY CO COLLABORATION COUNCIL FOR CHILDREN","20852","2011","494,273","LMB ADMINISTRATION","Grant","1","2011 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Maryland Coalition Against Sexual Assault, Inc. (MCASA)","20907","2017","152,318","Violence Against Women","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland State Department of Education/HEAD START","ST VINCENT DE PAUL OF BALTIMORE INC","21218","2017","127,153","Head Start","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Community Health Resources Commission","Wells House","21740","2018","103,615","Expand access to health care in underserved communities","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Department of Education/CHILDREN AT RISK","LIVING CLASSROOMS FOUNDATION","21231","2013","480,997","21ST CENTURY COMMUNITY LEARNING CENTERS","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Natural Resources/DNR - Wildlife and Heritage Service","Farmers and Hunters Feeding the Hungry","21795","2016","85,000","Grant to process hunter killed deer to feed the hungry","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/INNOVATE PROGRAMS","MONTGOMERY CO COLLABORATION COUNCIL FOR CHILDREN","20852","2013","179,248","HEALTHY FAMILIES","Grant","1","2013 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","CASA Citizens Assisting and Sheltering the Abused, Inc.","21740","2017","12,177","Reimbursable funds from DHMH for SARC -  - Community Sexual Violence Prevention","Grant","1","2017 Jun 30 12:00:00 AM"
"MD ECONOMIC DEVELOP ASSISTANCE FUND-CAP","MARYLAND ECONOMIC DEVELOPMENT","21202","2018","2,006,000","MD Economic Development Assistance Authority & Fund Loan","Loan","1","2018 Jun 30 12:00:00 AM"
"Department of Human Resources/Local Child Welfare Services","Burlington United Methodist Family Service","26726","2011","50,446.1","Funds are used to provide family stabilization service","Grant","1","2011 Jun 30 12:00:00 AM"
